2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
9.320329,8.452073,9.029036,8.601791,7.226736,7.906709,7.132715,6.076338,6.903848,6.023646,5.924484
9.992833,9.147411,9.587817,9.15784,8.015811,8.663448,7.944156,6.914853,7.728615,6.579493,6.393197
9.00764,8.230639,8.828305,8.492187,7.059146,7.553032,6.859037,5.846827,6.695004,5.793074,5.728253
8.431951,7.558773,8.188553,7.763797,6.392252,7.152116,6.36787,5.830084,6.300214,5.424834,5.343146
8.893359,7.871615,8.339143,7.7248,6.766258,7.163123,6.533535,5.382406,6.141611,5.654503,5.5085
8.974531,7.986871,8.512041,8.051424,6.908261,7.468687,6.794617,5.546455,6.545329,5.851333,5.794518
8.475551,7.68584,8.283626,7.797799,6.510306,6.996918,6.280931,5.607179,6.048411,5.365138,5.256383
8.557263,7.492523,8.025475,7.475565,6.304166,6.942348,6.299757,5.200292,5.972655,5.396454,5.316893
11.12763,9.724279,10.012148,9.230876,8.015732,9.963801,9.665183,9.218108,8.495451,7.093831,6.007504
11.474487,10.22917,10.761966,10.161457,9.507539,10.510533,10.173273,9.663438,8.956972,7.360885,6.157818
11.434953,10.201937,10.277726,9.484434,7.968382,9.879544,9.693664,9.121372,8.561327,6.989386,6.092333
11.094165,9.932851,10.412458,9.887737,8.342018,9.737909,9.467656,8.849624,8.351695,6.851701,5.675773
11.233991,9.94986,10.158518,9.510232,7.901406,9.691124,9.442402,8.866182,8.340875,6.86691,5.839974
13.012506,11.812486,12.364505,12.052898,10.485759,10.840677,10.533485,10.350975,10.235249,8.013692,7.428287
11.873496,11.310075,11.933952,11.619866,9.911085,10.119943,9.97578,9.785444,9.86582,7.371889,6.555144
13.066101,12.083755,12.462487,12.081135,10.334695,10.654532,10.654416,10.423155,10.479631,7.802818,7.135902
12.768189,11.258332,11.889811,11.646145,10.109126,10.741673,10.133344,9.984138,9.78347,7.9106,7.240439
12.374893,11.618467,12.182107,11.934605,10.395662,10.481507,10.282248,10.066935,10.115418,7.564173,6.911501
11.805295,11.10178,11.877086,11.66833,9.973812,10.209715,9.949033,9.798597,9.774212,7.47392,6.598085
13.191621,12.124145,12.396715,11.929751,10.203237,10.457765,10.691893,10.399361,10.617779,7.764978,7.32106
13.450807,12.128477,12.413109,11.892867,10.282262,10.315104,10.649419,10.317506,10.561054,7.74451,7.774139
11.614764,10.839431,11.583274,11.32464,9.701634,10.059017,9.714599,9.433652,9.432691,7.260256,6.414907
11.92326,10.889374,11.555413,11.27852,9.768061,10.270334,9.864263,9.554586,9.470461,7.474812,6.743776
11.431016,10.663087,11.511604,11.332765,9.713488,9.971175,9.616001,9.445496,9.395498,7.26727,6.437888
12.174373,11.466602,11.873593,11.468644,9.713566,9.957106,10.043665,9.75771,9.98514,7.214628,6.598888
11.057613,10.054918,10.656689,10.292059,8.842769,9.763369,8.85805,9.087047,9.001804,7.038283,6.972269
10.616295,9.77212,10.377873,9.936896,8.26703,9.125283,8.359779,8.44208,8.281452,6.494484,6.402774
9.892614,9.163153,10.092579,9.843454,8.141878,8.731027,7.721738,7.947816,7.994761,6.311209,6.329552
11.391792,10.555302,11.244866,10.889949,9.015505,10.268828,9.217263,9.700056,9.366687,7.531099,7.453791
10.396664,9.522229,10.328735,9.909412,8.265691,9.011667,8.180269,8.35498,8.144907,6.58262,6.552904
10.713063,9.941634,10.590263,10.259644,8.615344,9.230877,8.377654,8.573309,8.652096,6.544024,6.635512
11.837879,10.702858,10.891624,10.285813,8.472565,9.835789,9.089108,9.081912,7.732768,7.171272,6.788591
11.590172,10.384259,10.548229,9.901288,8.266659,9.771247,9.063592,8.953453,7.845917,7.080441,6.690058
12.860024,11.361587,11.468682,10.831371,9.464482,10.968192,10.02639,10.102136,8.507399,7.733926,7.407692
12.593075,11.127754,11.318584,10.705758,9.399294,10.928597,9.876523,9.955089,8.543307,7.682966,7.223764
11.879647,10.383318,10.592289,9.937155,9.244266,10.84198,9.667259,9.919637,8.495596,7.850213,7.179302
12.070707,10.601938,10.741305,10.1185,8.32255,10.021124,9.404584,9.385143,8.427462,7.434879,6.984334
12.003302,10.53775,10.725738,9.955154,9.261642,10.797511,9.994768,9.927967,8.703395,7.682435,7.194279
10.715313,9.312651,9.772291,9.168149,7.522352,9.18869,8.402562,8.315621,7.069589,6.733394,6.32771
12.760389,11.069059,11.266008,10.64127,9.023654,10.814563,10.216886,10.327127,9.385975,8.256315,7.737153
11.393471,10.294686,10.513797,9.945257,8.17187,9.636282,8.759258,8.791396,7.258673,6.963332,6.612299
11.738824,10.598295,10.787094,10.137832,8.494833,9.923452,9.106821,9.080862,7.665501,7.112318,6.725033
13.506674,11.929517,12.040892,11.585277,9.58208,10.35329,10.80485,10.537594,10.840149,7.947689,7.870298
12.661023,11.146026,11.258228,10.662865,9.001057,9.75396,10.220392,9.822581,10.256043,7.293431,7.318933
14.017757,12.448979,12.424009,11.879582,10.027241,10.414455,11.035569,10.737791,11.058917,7.884415,8.056918
12.495678,11.41182,11.569918,11.039748,9.286833,9.744576,10.196014,9.770872,10.187996,7.230019,7.121261
